Date,EUA_Price,PA_NAV,OIL_NAV
2021-08-02,54.6,5.04,25.23
2021-08-03,54.17,5.05,25.79
2021-08-04,55,5.09,25.69
2021-08-05,54.839999999999996,5.119999999999999,25.85
2021-08-06,56.720000000000006,5.119999999999999,26.04
2021-08-09,56,5.13,25.93
2021-08-10,57.1,5.14,26.05
2021-08-11,56.690000000000005,5.159999999999999,26.19
2021-08-12,57.36,5.17,26.130000000000003
2021-08-13,55.6,5.1899999999999995,26.110000000000003
2021-08-16,57.18,5.17,25.7
2021-08-17,57.4,5.17,25.82
2021-08-18,57.7,5.1899999999999995,25.89
2021-08-19,55.809999999999995,5.13,25.05
2021-08-20,54.4,5.1499999999999995,25.07
2021-08-23,55.949999999999996,5.18,25.6
2021-08-24,55.720000000000006,5.17,25.82
2021-08-25,56.63,5.159999999999999,25.8
2021-08-26,55.61,5.1499999999999995,25.759999999999998
2021-08-27,57.51,5.159999999999999,26.03
2021-08-31,60.11,5.1499999999999995,25.8
2021-09-01,61.290000000000006,5.18,25.75
2021-09-03,61.25,5.159999999999999,26.02
2021-09-06,62.87,5.2,26.17
2021-09-07,61.71,5.17,26.18
2021-09-08,61.93,5.119999999999999,25.87
2021-09-09,61.98,5.119999999999999,25.68
2021-09-10,61.849999999999994,5.1,25.6
2021-09-13,61.91,5.109999999999999,26.3
2021-09-14,61.51,5.119999999999999,26.3
2021-09-15,60,5.07,26.650000000000002
2021-09-16,59.89,5.1,26.55
2021-09-17,59.6,5.05,26.259999999999998
2021-09-20,58.56,4.98,25.959999999999997
2021-09-21,60.309999999999995,5.03,26.5
2021-09-22,60.02,5.07,27.16
2021-09-23,59.449999999999996,5.119999999999999,27.52
2021-09-24,61.24,5.06,27.43
2021-09-27,64,5.04,28.2
2021-09-28,65,4.930000000000001,28.29
2021-09-29,61.83,4.96,28.34
2021-09-30,61.37,4.95,28.54
2021-11-01,59.98,5.25,29.630000000000003
2021-11-02,57.8,5.2700000000000005,29.18
2021-11-03,59.78,5.29,28.310000000000002
2021-11-04,59.809999999999995,5.31,28.59
2021-11-05,61.05,5.29,28.73
2021-11-08,60.06,5.3,29
2021-11-09,60.11,5.29,28.86
2021-11-10,61.53,5.3,29.1
2021-11-11,62.309999999999995,5.319999999999999,28.979999999999997
2021-11-12,63.53,5.34,28.7
2021-11-15,64.4,5.35,28.87
2021-11-16,67.5,5.359999999999999,29.17
2021-11-17,67.14,5.37,29.09
2021-11-18,66.51,5.35,28.59
2021-11-19,69.21000000000001,5.35,27.87
2021-11-22,69.7,5.33,28.14
2021-11-23,69.88,5.25,28.29
2021-11-24,69.51,5.26,28.49
2021-11-25,72.14999999999999,5.3,28.57
2021-11-26,71.95,5.119999999999999,26.91
2021-11-29,74.48,5.1499999999999995,27.45
2021-11-30,74.82,5.119999999999999,27.09
2022-01-10,82.71000000000001,5.1899999999999995,29.6
2022-01-11,81.9,5.23,30.03
2022-01-13,79.05,5.24,30.72
2022-01-14,81.52,5.18,31
2022-01-17,80.21000000000001,5.22,30.82
2022-01-18,79.22,5.159999999999999,31.14
2022-01-19,80.7,5.17,31.21
2022-01-20,80.8,5.21,31.07
2022-01-21,84.03,5.109999999999999,30.09
2022-01-24,85.75,4.92,29.01
2022-01-25,84.48,4.95,29.73
2022-01-27,88.51,5.06,31.14
2022-01-28,89.25,5,30.73
2022-01-31,88.03,5.05,30.53
2022-02-02,91.61,5.13,30.82
2022-02-03,92.64999999999999,5.03,30.67
2022-02-04,94.64999999999999,4.94,31.3
2022-02-07,93.5,4.970000000000001,31.43
2022-02-08,97.51,4.96,30.85
2022-02-09,96.53,5.05,31.47
2022-02-10,90.6,5.03,31.4
2022-02-11,89.98,4.99,31.8
2022-02-14,90.73,4.9,31.19
2022-02-15,90.35,4.98,30.979999999999997
2022-02-16,88.05,4.98,31.479999999999997
2022-02-17,87.5,4.96,31.16
2022-02-18,87.64999999999999,4.92,30.82
2022-02-21,87.99000000000001,4.85,30.650000000000002
2022-02-22,88.4,4.859999999999999,30.630000000000003
2022-02-23,92.8,4.85,30.459999999999997
2022-02-24,88,4.74,30.36
2022-02-25,86.9,4.89,30.95
2022-02-28,80.92,4.930000000000001,30.87
2022-04-01,78,5.02,32.660000000000004
2022-04-04,77.5,5.06,32.59
2022-04-05,78.33,5.08,32.96
2022-04-06,78.34,5,32.83
