per;Währung;NAV;Umlaufende Anteile;Fondsvermögen;Ertragsserie des Produktes;Benchmark Ertragserie
20.Nov.2025;EUR;41.06;10’749’774.00;441’344’454.41;--;--
19.Nov.2025;EUR;40.60;10’749’774.00;436’486’044.31;274.48;279.32
18.Nov.2025;EUR;40.78;10’749’774.00;438’340’075.96;--;--
17.Nov.2025;EUR;41.69;10’749’774.00;448’128’507.30;281.80;286.78
14.Nov.2025;EUR;41.41;10’749’774.00;445’172’399.50;279.94;284.88
13.Nov.2025;EUR;40.95;10’749’774.00;440’185’716.62;276.81;281.69
12.Nov.2025;EUR;41.24;10’749’774.00;443’342’377.41;278.79;283.73
11.Nov.2025;EUR;41.50;10’749’774.00;446’154’801.67;280.56;285.52
10.Nov.2025;EUR;40.71;10’749’774.00;437’614’251.99;275.19;280.05
07.Nov.2025;EUR;40.16;10’749’774.00;431’738’188.97;271.50;276.28
06.Nov.2025;EUR;40.19;10’749’774.00;432’025’272.95;271.68;276.46
05.Nov.2025;EUR;40.46;10’749’774.00;434’921’944.54;273.50;278.31
04.Nov.2025;EUR;40.10;10’749’774.00;431’066’483.07;271.07;275.84
03.Nov.2025;EUR;40.28;10’749’774.00;433’025’731.76;272.31;277.09
31.Okt.2025;EUR;40.01;10’749’774.00;430’113’150.83;270.47;275.22
30.Okt.2025;EUR;40.19;10’749’774.00;432’055’664.38;271.70;276.46
29.Okt.2025;EUR;40.13;10’749’774.00;431’422’044.98;271.30;276.05
28.Okt.2025;EUR;39.62;10’749’774.00;425’894’775.01;267.82;272.50
27.Okt.2025;EUR;39.62;10’749’774.00;425’882’711.56;267.81;272.49
24.Okt.2025;EUR;39.68;10’749’774.00;426’573’610.79;268.25;272.94
23.Okt.2025;EUR;39.47;10’749’774.00;424’279’848.45;266.81;271.47
22.Okt.2025;EUR;38.43;10’749’774.00;413’153’909.22;259.81;264.35
21.Okt.2025;EUR;38.17;10’749’774.00;410’280’437.59;258.00;262.51
20.Okt.2025;EUR;38.13;11’299’774.00;430’895’730.46;257.78;262.27
17.Okt.2025;EUR;37.97;11’399’774.00;432’875’645.18;256.69;261.15
16.Okt.2025;EUR;38.25;11’399’774.00;435’999’299.05;258.54;263.04
15.Okt.2025;EUR;38.30;11’399’774.00;436’666’223.93;258.94;263.45
14.Okt.2025;EUR;38.49;11’441’074.00;440’326’709.29;256.88;261.34
13.Okt.2025;EUR;38.88;11’441’074.00;444’796’860.93;259.49;263.99
10.Okt.2025;EUR;38.72;11’441’074.00;442’983’410.68;258.43;262.90
09.Okt.2025;EUR;39.77;11’441’074.00;455’061’420.69;265.47;270.07
08.Okt.2025;EUR;39.68;11’441’074.00;453’971’002.96;264.84;269.42
07.Okt.2025;EUR;39.46;11’441’074.00;451’466’176.14;263.38;267.93
06.Okt.2025;EUR;39.41;11’341’074.00;447’007’612.44;263.07;267.62
02.Okt.2025;EUR;38.86;11’341’074.00;440’763’129.48;259.40;263.87
01.Okt.2025;EUR;38.97;11’341’074.00;441’906’702.02;260.07;264.55
30.Sept.2025;EUR;38.23;11’341’074.00;433’547’017.11;255.15;259.69
29.Sept.2025;EUR;38.84;11’341’074.00;440’506’433.32;259.25;263.87
26.Sept.2025;EUR;39.38;11’341’074.00;446’598’927.44;262.83;267.50
25.Sept.2025;EUR;38.88;11’341’074.00;440’894’009.44;259.48;264.07
24.Sept.2025;EUR;38.79;11’341’074.00;439’969’380.63;258.93;263.52
23.Sept.2025;EUR;38.21;11’341’074.00;433’377’725.53;255.05;259.57
22.Sept.2025;EUR;37.75;11’341’074.00;428’134’680.54;251.97;256.42
19.Sept.2025;EUR;37.58;11’341’074.00;426’148’893.17;250.80;255.28
18.Sept.2025;EUR;37.87;11’341’074.00;429’478’803.24;252.76;257.27
17.Sept.2025;EUR;37.58;11’341’074.00;426’217’401.68;250.84;255.32
16.Sept.2025;EUR;37.99;11’341’074.00;430’835’857.42;253.56;258.08
15.Sept.2025;EUR;38.02;11’341’074.00;431’195’549.73;253.77;258.29
12.Sept.2025;EUR;37.91;11’341’074.00;429’929’328.31;253.02;257.52
11.Sept.2025;EUR;38.06;11’341’074.00;431’663’151.81;254.04;258.55
10.Sept.2025;EUR;38.24;11’341’074.00;433’676’196.04;255.23;259.77
09.Sept.2025;EUR;38.02;11’341’074.00;431’227’317.67;253.79;258.30
08.Sept.2025;EUR;37.58;11’341’074.00;426’245’405.58;250.86;255.33
05.Sept.2025;EUR;37.35;11’341’074.00;423’546’200.82;249.27;253.71
04.Sept.2025;EUR;38.03;11’341’074.00;431’338’442.49;253.85;258.34
03.Sept.2025;EUR;37.85;11’291’074.00;427’408’829.76;252.65;257.12
02.Sept.2025;EUR;38.18;10’941’074.00;417’735’516.82;254.84;259.33
01.Sept.2025;EUR;38.51;10’691’074.00;411’697’406.72;257.02;261.56
29.Aug.2025;EUR;38.53;10’691’074.00;411’965’078.17;257.19;261.73
28.Aug.2025;EUR;38.56;10’691’074.00;412’209’377.98;257.34;261.84
27.Aug.2025;EUR;38.62;10’691’074.00;412’918’931.22;257.79;262.31
26.Aug.2025;EUR;38.57;10’691’074.00;412’380’161.60;257.45;261.98
