As Of;Currency;NAV per Share;Shares Outstanding;Total Net Assets;Fund Return Series;Benchmark Return Series
19/Nov/2025;EUR;6.34;10’640’585.00;67’443’498.32;127.40;126.42
18/Nov/2025;EUR;6.34;10’640’585.00;67’421’413.26;--;--
17/Nov/2025;EUR;6.44;10’640’585.00;68’550’832.05;129.49;128.50
14/Nov/2025;EUR;6.49;10’640’585.00;69’045’585.04;130.43;129.43
13/Nov/2025;EUR;6.55;10’640’585.00;69’747’694.72;131.75;130.75
12/Nov/2025;EUR;6.61;10’640’585.00;70’347’047.39;132.88;131.88
11/Nov/2025;EUR;6.56;9’640’585.00;63’273’166.15;131.92;130.92
10/Nov/2025;EUR;6.48;9’640’585.00;62’437’128.56;130.18;129.18
07/Nov/2025;EUR;6.39;9’640’585.00;61’578’341.83;128.39;127.40
06/Nov/2025;EUR;6.43;9’640’585.00;62’020’027.67;129.31;128.32
05/Nov/2025;EUR;6.49;9’613’459.00;62’348’426.75;130.36;129.37
04/Nov/2025;EUR;6.47;9’613’459.00;62’185’945.86;130.02;129.03
03/Nov/2025;EUR;6.48;9’613’459.00;62’336’426.00;130.33;129.34
31/Oct/2025;EUR;6.49;9’613’459.00;62’388’249.28;130.44;129.45
30/Oct/2025;EUR;6.54;9’613’459.00;62’858’345.49;131.42;130.42
29/Oct/2025;EUR;6.54;9’613’459.00;62’868’560.51;131.45;130.46
28/Oct/2025;EUR;6.56;9’613’459.00;63’046’634.20;131.82;130.82
27/Oct/2025;EUR;6.59;9’613’459.00;63’311’770.63;132.37;131.37
24/Oct/2025;EUR;6.57;9’613’459.00;63’192’646.88;132.12;131.13
23/Oct/2025;EUR;6.56;9’613’459.00;63’099’330.83;131.93;130.93
22/Oct/2025;EUR;6.55;9’613’459.00;62’958’311.92;131.63;130.64
21/Oct/2025;EUR;6.57;9’582’109.00;62’933’002.28;132.01;131.01
20/Oct/2025;EUR;6.55;9’582’109.00;62’766’240.66;131.66;130.66
17/Oct/2025;EUR;6.49;9’627’760.00;62’446’524.47;130.37;129.38
16/Oct/2025;EUR;6.54;9’627’760.00;62’921’471.78;131.36;130.37
15/Oct/2025;EUR;6.50;9’627’760.00;62’579’646.48;130.65;129.66
14/Oct/2025;EUR;6.45;9’627’760.00;62’114’395.86;129.68;128.69
13/Oct/2025;EUR;6.47;9’627’760.00;62’274’481.06;130.01;129.02
10/Oct/2025;EUR;6.44;9’627’760.00;61’966’455.71;129.37;128.39
09/Oct/2025;EUR;6.51;9’618’127.00;62’606’797.52;130.84;129.85
08/Oct/2025;EUR;6.54;9’618’127.00;62’940’621.73;131.53;130.54
07/Oct/2025;EUR;6.49;9’618’127.00;62’451’325.25;130.51;129.53
06/Oct/2025;EUR;6.50;9’618’127.00;62’534’186.93;130.68;129.70
03/Oct/2025;EUR;6.49;9’618’127.00;62’469’106.87;130.55;129.56
02/Oct/2025;EUR;6.46;10’618’127.00;68’567’986.10;129.80;128.82
01/Oct/2025;EUR;6.42;10’618’127.00;68’132’739.63;128.97;128.00
30/Sept/2025;EUR;6.33;10’618’127.00;67’205’913.43;127.22;126.26
29/Sept/2025;EUR;6.30;10’618’127.00;66’870’805.11;126.59;125.62
26/Sept/2025;EUR;6.27;10’618’127.00;66’626’498.21;126.12;125.16
25/Sept/2025;EUR;6.23;10’618’127.00;66’147’439.11;125.22;124.26
24/Sept/2025;EUR;6.28;10’618’127.00;66’652’183.05;126.17;125.21
23/Sept/2025;EUR;6.30;10’618’127.00;66’908’625.01;126.66;125.69
22/Sept/2025;EUR;6.29;9’618’127.00;60’479’764.75;126.39;125.43
19/Sept/2025;EUR;6.29;9’618’127.00;60’500’823.96;126.43;125.47
18/Sept/2025;EUR;6.30;9’618’127.00;60’639’002.86;126.72;125.76
17/Sept/2025;EUR;6.25;9’618’127.00;60’096’027.04;125.59;124.63
16/Sept/2025;EUR;6.24;9’618’127.00;59’994’387.18;125.38;124.42
15/Sept/2025;EUR;6.31;9’618’127.00;60’718’487.23;126.89;125.92
12/Sept/2025;EUR;6.29;9’618’127.00;60’533’933.31;126.50;125.53
11/Sept/2025;EUR;6.30;9’618’127.00;60’584’287.75;126.61;125.63
10/Sept/2025;EUR;6.28;9’617’103.00;60’354’723.83;126.14;125.17
09/Sept/2025;EUR;6.28;9’617’103.00;60’409’936.28;126.26;125.29
08/Sept/2025;EUR;6.28;9’617’103.00;60’438’005.85;126.32;125.35
05/Sept/2025;EUR;6.25;9’617’103.00;60’154’701.45;125.72;124.76
04/Sept/2025;EUR;6.25;7’605’947.00;47’546’615.90;125.65;124.68
03/Sept/2025;EUR;6.21;7’338’867.00;45’597’479.61;124.88;123.92
02/Sept/2025;EUR;6.16;7’278’867.00;44’843’745.28;123.83;122.88
01/Sept/2025;EUR;6.26;7’297’127.00;45’670’565.12;125.80;124.83
29/Aug/2025;EUR;6.25;7’297’127.00;45’610’064.12;125.63;124.66
28/Aug/2025;EUR;6.30;7’297’127.00;45’981’812.81;126.66;125.68
27/Aug/2025;EUR;6.32;7’297’127.00;46’086’877.33;126.95;125.97
26/Aug/2025;EUR;6.30;7’297’127.00;45’975’390.26;126.64;125.66
22/Aug/2025;EUR;6.39;7’297’127.00;46’651’180.56;128.50;127.50
21/Aug/2025;EUR;6.36;7’297’127.00;46’403’004.76;127.82;126.82
20/Aug/2025;EUR;6.37;7’297’127.00;46’514’775.97;128.12;127.13
19/Aug/2025;EUR;6.36;7’297’127.00;46’416’925.04;127.86;126.86
18/Aug/2025;EUR;6.31;7’297’127.00;46’025’896.93;126.78;125.79
15/Aug/2025;EUR;6.30;7’297’127.00;45’954’034.63;126.58;125.59
14/Aug/2025;EUR;6.29;7’297’127.00;45’921’099.39;126.49;125.50
13/Aug/2025;EUR;6.26;7’297’127.00;45’669’683.62;125.80;124.82
12/Aug/2025;EUR;6.22;7’297’127.00;45’383’649.80;125.01;124.03
11/Aug/2025;EUR;6.21;7’297’127.00;45’337’268.48;124.88;123.91
08/Aug/2025;EUR;6.22;7’297’127.00;45’402’600.82;125.06;124.08
07/Aug/2025;EUR;6.21;7’297’127.00;45’339’823.72;124.89;123.91
06/Aug/2025;EUR;6.13;7’297’127.00;44’746’840.87;123.26;122.29
05/Aug/2025;EUR;6.15;7’625’809.00;46’896’058.93;123.61;122.63
04/Aug/2025;EUR;6.14;7’625’809.00;46’835’156.11;123.45;122.47
01/Aug/2025;EUR;6.09;7’625’809.00;46’408’741.93;122.32;121.36
31/Jul/2025;EUR;6.20;7’673’285.00;47’600’001.27;124.69;123.70
30/Jul/2025;EUR;6.28;7’673’285.00;48’150’601.59;126.13;125.13
29/Jul/2025;EUR;6.28;7’673’285.00;48’180’167.85;126.21;125.21
28/Jul/2025;EUR;6.28;7’673’285.00;48’184’599.66;126.22;125.22
25/Jul/2025;EUR;6.29;7’673’285.00;48’230’807.30;126.34;125.34
24/Jul/2025;EUR;6.30;7’673’285.00;48’339’579.08;126.62;125.63
23/Jul/2025;EUR;6.28;7’673’285.00;48’205’151.87;126.27;125.27
22/Jul/2025;EUR;6.22;7’633’285.00;47’449’131.70;124.94;123.96
21/Jul/2025;EUR;6.25;7’633’285.00;47’678’207.85;125.55;124.56
18/Jul/2025;EUR;6.25;7’633’285.00;47’687’059.98;125.57;124.59
17/Jul/2025;EUR;6.25;7’633’285.00;47’723’746.61;125.67;124.68
16/Jul/2025;EUR;6.18;7’633’285.00;47’180’799.55;124.24;123.26
15/Jul/2025;EUR;6.22;7’633’285.00;47’489’289.61;125.05;124.07
14/Jul/2025;EUR;6.24;7’633’285.00;47’605’947.15;125.36;124.37
11/Jul/2025;EUR;6.24;7’633’285.00;47’658’896.98;125.50;124.51
10/Jul/2025;EUR;6.32;7’633’285.00;48’225’761.86;126.99;125.99
09/Jul/2025;EUR;6.28;7’679’519.00;48’229’106.62;126.23;125.24
